Subject,pc,sigma,lambda,theta,nLogLik,n_parameters,aic,optimizer
control_34,pc1,0.262231182,0.208602395,-0.015881942,-123.2956265,100,190.3708301,basinhopping
control_34,pc2,0.24074506,0.254310249,0.013811509,-140.0486123,100,190.1160208,basinhopping
control_34,pc3,0.240346377,0.309666085,-0.036383266,-140.3766989,100,190.111341,basinhopping
destabilizing_treatment_0,pc1,0.241744495,0.01387383,0.450375427,-139.2391298,100,190.1276144,basinhopping
destabilizing_treatment_0,pc2,0.247688688,0.074452431,0.166214205,-134.4785495,100,190.1971906,basinhopping
destabilizing_treatment_0,pc3,0.259101922,0.024308255,0.882877152,-125.6486949,100,190.3330202,basinhopping
destabilizing_treatment_1,pc1,0.247278135,0.033962639,0.556588648,-134.8036965,100,190.1923608,basinhopping
destabilizing_treatment_1,pc2,0.252290577,0.053339096,-0.449381513,-130.8691091,100,190.2516047,basinhopping
destabilizing_treatment_1,pc3,0.262535829,0.104232373,0.193309656,-123.0666582,100,190.3745477,basinhopping
destabilizing_treatment_2,pc1,0.248156909,0.036921653,0.10229424,-134.1079698,100,190.2027096,basinhopping
destabilizing_treatment_2,pc2,0.234123522,0.18255115,0.112173354,-145.5167498,100,190.0394176,basinhopping
destabilizing_treatment_2,pc3,0.256880526,0.064203068,0.27477209,-127.3368159,100,190.3063287,basinhopping
destabilizing_treatment_3,pc1,0.247196642,0.029067073,0.65657908,-134.8676843,100,190.1914116,basinhopping
destabilizing_treatment_3,pc2,0.233378374,0.063685479,0.295589217,-146.1414297,100,190.0308503,basinhopping
destabilizing_treatment_3,pc3,0.254715026,0.177455436,0.026657214,-128.995694,100,190.280442,basinhopping
destabilizing_treatment_4,pc1,0.260485987,0.081687528,-0.055528566,-124.605431,100,190.3496956,basinhopping
destabilizing_treatment_4,pc2,0.264031665,0.024716824,0.318710271,-121.9544505,100,190.3927048,basinhopping
destabilizing_treatment_4,pc3,0.25183323,0.055278885,-0.037428575,-131.2248414,100,190.2461756,basinhopping
destabilizing_treatment_5,pc1,0.254275117,0.051683211,0.324585761,-129.3338595,100,190.2752058,basinhopping
destabilizing_treatment_5,pc2,0.247290465,0.255183735,-0.092384721,-134.7920354,100,190.1925338,basinhopping
destabilizing_treatment_5,pc3,0.258205544,0.018391553,0.415280049,-126.3279431,100,190.3222375,basinhopping
destabilizing_treatment_6,pc1,0.260282917,-0.002631725,3.778812843,-124.7571431,100,190.347262,basinhopping
destabilizing_treatment_6,pc2,0.242882297,0.026780026,-0.555793581,-138.3188221,100,190.1408773,basinhopping
destabilizing_treatment_6,pc3,0.244518069,0.058569126,-0.277164425,-137.003165,100,190.1599919,basinhopping
destabilizing_treatment_7,pc1,0.244180243,0.01216327,0.884210122,-137.274155,100,190.1560399,basinhopping
destabilizing_treatment_7,pc2,0.266572342,0.124433442,0.10982922,-120.0779832,100,190.4237172,basinhopping
destabilizing_treatment_7,pc3,0.247017164,0.028771436,-0.325334298,-135.0104196,100,190.1892961,basinhopping
destabilizing_treatment_8,pc1,0.246515447,0.10408746,-0.070526409,-135.4085512,100,190.183407,basinhopping
destabilizing_treatment_8,pc2,0.253596337,0.037133681,-0.134170696,-129.8587156,100,190.2671059,basinhopping
destabilizing_treatment_8,pc3,0.247837818,0.062784095,-0.120936693,-134.3591489,100,190.1989671,basinhopping
destabilizing_treatment_9,pc1,0.252966863,0.125988324,0.177621754,-130.3445762,100,190.2596369,basinhopping
destabilizing_treatment_9,pc2,0.252153162,0.031066615,-0.392185623,-130.9766428,100,190.249962,basinhopping
destabilizing_treatment_9,pc3,0.260909328,0.028913878,0.512301347,-124.2856069,100,190.3548356,basinhopping
destabilizing_treatment_10,pc1,0.253370361,0.056578835,-0.069561708,-130.0321352,100,190.2644368,basinhopping
destabilizing_treatment_10,pc2,0.250483391,0.012715651,-1.049216204,-132.2789492,100,190.2301741,basinhopping
destabilizing_treatment_10,pc3,0.248700871,0.001032969,8.412689364,-133.678733,100,190.2091212,basinhopping
destabilizing_treatment_11,pc1,0.244593524,-0.010341691,0.874691787,-136.9427993,100,190.1608734,basinhopping
destabilizing_treatment_11,pc2,0.237062978,-0.016459816,-0.287653848,-143.0721552,100,190.0733018,basinhopping
destabilizing_treatment_11,pc3,0.255327005,0.032555595,-0.342926555,-128.5254346,100,190.2877464,basinhopping
destabilizing_treatment_12,pc1,0.2412079,0.02265211,-0.499256581,-139.6745719,100,190.1213695,basinhopping
destabilizing_treatment_12,pc2,0.249349574,0.026117201,0.638828533,-133.1681867,100,190.2167742,basinhopping
destabilizing_treatment_12,pc3,0.247972885,0.075105472,0.047711662,-134.2537338,100,190.2005369,basinhopping
destabilizing_treatment_13,pc1,0.23718202,0.110468034,0.016185454,-142.9747274,100,190.0746642,basinhopping
destabilizing_treatment_13,pc2,0.252560562,0.024628375,-0.694161305,-130.6603027,100,190.2547983,basinhopping
destabilizing_treatment_13,pc3,0.255584031,0.046534927,-0.269833426,-128.3275906,100,190.2908274,basinhopping
destabilizing_treatment_14,pc1,0.254963499,0.170575358,-0.14236444,-128.8051468,100,190.2833985,basinhopping
destabilizing_treatment_14,pc2,0.248216936,0.015492256,0.892390683,-134.0607577,100,190.2034138,basinhopping
destabilizing_treatment_14,pc3,0.246778538,0.122356977,-0.047997475,-135.1991182,100,190.1865027,basinhopping
destabilizing_treatment_15,pc1,0.252180969,0.00053269,-18.67680459,-130.9550992,100,190.250291,basinhopping
destabilizing_treatment_15,pc2,0.244107064,0.07057029,0.110674893,-137.3309922,100,190.155212,basinhopping
destabilizing_treatment_15,pc3,0.239094584,0.151854408,-0.012639508,-141.3982277,100,190.0968396,basinhopping
destabilizing_treatment_16,pc1,0.255773328,-0.003092237,2.954485034,-128.1827413,100,190.2930862,basinhopping
destabilizing_treatment_16,pc2,0.244532855,0.018605852,-0.910380531,-136.99126,100,190.1601657,basinhopping
destabilizing_treatment_16,pc3,0.253012081,0.202197964,0.09769007,-130.3096927,100,190.2601723,basinhopping
destabilizing_treatment_17,pc1,0.264391712,0.059280557,0.075730477,-121.6873304,100,190.3970902,basinhopping
destabilizing_treatment_17,pc2,0.238978164,0.03114175,-0.330847855,-141.4948211,100,190.0954738,basinhopping
destabilizing_treatment_17,pc3,0.254074979,0.042930516,0.032418781,-129.4885681,100,190.2728148,basinhopping
destabilizing_treatment_18,pc1,0.236928382,0.205198394,-0.028532946,-143.1824248,100,190.071761,basinhopping
destabilizing_treatment_18,pc2,0.23708832,0.031076922,-0.650364124,-143.0511303,100,190.0735958,basinhopping
destabilizing_treatment_18,pc3,0.247198792,0.130572216,-0.056644491,-134.8651741,100,190.1914489,basinhopping
destabilizing_treatment_19,pc1,0.259680457,0.082665159,0.048374,-125.2099623,100,190.3400159,basinhopping
destabilizing_treatment_19,pc2,0.245177947,0.029128774,0.399957043,-136.4754463,100,190.1677106,basinhopping
destabilizing_treatment_19,pc3,0.240236413,0.020796445,0.317405113,-140.4657462,100,190.1100727,basinhopping
destabilizing_treatment_20,pc1,0.24898867,0.105285037,0.151381617,-133.4523479,100,190.2125111,basinhopping
destabilizing_treatment_20,pc2,0.261247519,0.097676769,0.38735634,-124.0316558,100,190.3589264,basinhopping
destabilizing_treatment_20,pc3,0.247886146,0.094499421,0.056479698,-134.3211792,100,190.1995324,basinhopping
destabilizing_treatment_21,pc1,0.252985883,0.016961831,0.679698438,-130.3304167,100,190.2598542,basinhopping
destabilizing_treatment_21,pc2,0.230086498,0.049378449,-0.261735625,-148.926027,100,189.9931006,basinhopping
destabilizing_treatment_21,pc3,0.250706765,0.03127747,-0.183173723,-132.1039926,100,190.2328211,basinhopping
destabilizing_treatment_22,pc1,0.243219368,0.024057929,0.858568102,-138.0465699,100,190.1448178,basinhopping
destabilizing_treatment_22,pc2,0.247846337,0.142288552,-0.106681284,-134.3537148,100,190.199048,basinhopping
destabilizing_treatment_22,pc3,0.263771447,0.016206322,0.254648351,-122.1475314,100,190.3895408,basinhopping
destabilizing_treatment_23,pc1,0.257217478,0.068549931,0.019204093,-127.0795544,100,190.3103734,basinhopping
destabilizing_treatment_23,pc2,0.240096875,0.015533093,-1.099879908,-140.5797185,100,190.1084506,basinhopping
destabilizing_treatment_23,pc3,0.260081644,0.011314461,0.345134368,-124.9086178,100,190.3448352,basinhopping
destabilizing_treatment_24,pc1,0.246114007,0.265305367,-0.058132119,-135.7284039,100,190.1786883,basinhopping
destabilizing_treatment_24,pc2,0.241626404,0.055761047,-0.308227341,-139.3356826,100,190.126228,basinhopping
destabilizing_treatment_24,pc3,0.244731011,0.01690865,0.881080234,-136.832533,100,190.1624844,basinhopping
destabilizing_treatment_25,pc1,0.250026076,0.174035771,-0.028349782,-132.6373427,100,190.2247627,basinhopping
destabilizing_treatment_25,pc2,0.24734112,0.011451916,1.406961371,-134.7533127,100,190.1931084,basinhopping
